lon,lat,dist,ir,opt
124.5159,-6.9108,18.678,0.2944,0.165
232.4961,2.738,18.27,0.5576,0.3167
163.4406,3.7655,18.77,0.6507,0.3721
174.8123,-9.4493,15.486,0.47,0.3159
139.6752,-6.7995,21.239,0.4845,0.3137
272.2369,-0.8295,15.064,0.3148,0.1129
140.2135,-2.2898,21.156,0.5991,0.0856
158.5589,-3.9533,19.091,0.5945,0.1116
200.7752,-3.0545,19.042,0.6917,0.2145
225.4444,-0.222,18.546,0.7726,0.2785
224.4261,1.3875,17.925,0.7228,0.3742
72.4724,-2.0972,13.987,0.34,0.1353
171.1966,0.8605,18.435,0.8963,0.3493
47.0348,5.8102,13.233,0.283,0.1928
174.0267,7.271,18.365,0.5876,0.4453
135.1188,-4.2843,20.158,0.4805,0.2806
177.2372,1.5456,18.318,0.9649,0.6546
206.4704,9.1209,16.038,0.2888,0.1841
161.3949,0.2086,18.894,0.8893,0.2816
171.6636,3.7544,18.422,0.7935,0.6166
243.6557,6.5694,15.8,0.2849,0.1452
300.2921,4.8095,13.534,0.4121,0.2873
146.5583,-8.6798,16.847,0.325,0.218
180.2247,5.8903,18.305,0.6704,0.5487
145.0344,-4.0942,20.471,0.5096,0.132
171.5173,-5.4794,18.426,0.7086,0.3757
128.8131,2.9563,20.392,0.4544,0.3504
210.9113,2.4957,19.977,0.6558,0.4027
198.9003,0.4034,18.913,0.806,0.1868
178.8104,-4.3145,18.307,0.841,0.1054
156.1743,8.1989,17.827,0.364,0.1741
247.3269,-0.1237,15.789,0.6579,0.4149
227.7763,4.0771,17.347,0.4766,0.2575
252.9146,-4.039,15.927,0.3602,0.2376
281.4566,2.883,14.975,0.3118,0.1934
180.1444,-1.3454,18.305,0.9379,0.159
75.1978,-2.6259,13.778,0.3712,0.2037
244.0128,2.155,15.727,0.5316,0.2036
232.1397,-2.0974,18.613,0.6727,0.3061
103.4675,-2.6443,16.688,0.5261,0.368
145.5443,0.6188,20.405,0.7462,0.2179
278.3311,0.3592,14.499,0.2919,0.1948
143.2819,-3.9417,20.707,0.5323,0.1815
269.08,-0.5238,14.576,0.3315,0.0718
196.0136,9.2554,15.807,0.3021,0.2232
131.6451,-5.4924,20.192,0.4212,0.2416
228.9437,-2.2367,18.329,0.6812,0.2547
227.1318,-1.0465,17.109,0.7433,0.2391
196.7678,-1.3437,18.782,0.8152,0.244
93.435,-1.2601,16.338,0.501,0.395
339.7326,9.2027,10.662,0.6494,0.2444
277.7857,-0.0221,15.22,0.2947,0.1849
228.3709,-5.5585,17.456,0.4006,0.2102
238.4762,-7.6299,16.936,0.2805,0.1355
133.8207,-2.1508,19.826,0.676,0.2618
90.3605,1.2815,14.917,0.3968,0.3564
236.3872,-5.192,17.48,0.3925,0.2468
182.1448,-5.5829,18.313,0.7714,0.3628
157.1811,1.6018,19.198,0.771,0.2169
273.1595,-4.3501,14.752,0.3673,0.2208
179.1143,-5.9064,18.306,0.7311,0.3252
74.5473,-8.5768,13.851,0.2971,0.2256
194.074,-4.3506,18.64,0.5778,0.2399
149.9637,0.4502,19.88,0.8002,0.1492
350.3081,-5.4775,10.203,0.378,0.1989
109.4193,-5.3917,15.871,0.3945,0.3835
196.0189,4.1864,18.74,0.5649,0.2539
95.5174,2.0311,16.087,0.3744,0.1635
257.1927,5.1801,14.662,0.2863,0.2269
184.9876,0.1778,18.347,0.9566,0.2258
250.9954,4.2865,15.323,0.396,0.2604
70.2866,-3.0932,14.399,0.3781,0.1389
178.6532,-2.3896,18.308,0.9609,0.2219
283.034,4.6889,14.028,0.298,0.2605
196.7149,9.3407,15.664,0.3076,0.2095
198.9745,-2.0689,18.918,0.7837,0.236
242.1731,5.9336,15.94,0.3298,0.2049
197.5891,-4.2473,18.83,0.5835,0.1651
127.0651,2.4258,20.328,0.5191,0.3517
263.7717,-1.9095,14.689,0.3295,0.203
155.7961,3.7089,19.313,0.5945,0.3948
241.7325,2.6456,16.192,0.4898,0.2824
150.6002,5.0188,19.811,0.5417,0.3647
100.027,-4.4736,16.515,0.4363,0.2579
265.6386,4.0911,14.693,0.2989,0.2499
124.7487,-2.0478,18.871,0.6192,0.1905
73.9199,-0.3392,13.961,0.3802,0.3184
217.3094,-8.4604,17.28,0.308,0.1541
342.5124,-4.0542,10.486,0.2775,0.1712
215.6561,2.473,20.562,0.6308,0.3156
311.7944,8.9347,13.218,0.3322,0.5232
244.8403,-1.837,15.405,0.5914,0.4636
209.8534,-4.938,19.86,0.5042,0.2396
220.785,2.7538,19.479,0.5816,0.216
